# TEST CONFIGURATION BEGIN
# ConceptDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 5000 - width: 1 -
# [hat] HAT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] -
# [rslvq] RSLVQ
# [arslvq] RSLVQ
# [adf] AdaptiveRandomForest: n_estimators: 10 - max_features: auto - disable_weighted_vote: False - lambda_value: 6 -
# [oza] OzaBagginAdwin Classifier: base_estimator: <skmultiflow.lazy.knn.KNN object at 0x7fadd74ce7f0> - n_estimators: 10
# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: Mixed Generator_memory_other.csv - batch_size: 10 - pretrain_size: 200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'model_size']
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[arslvq],current_acc_[arslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],model_size_[hat],model_size_[rslvq],model_size_[arslvq],model_size_[adf],model_size_[oza]
15590,0.863571,0.890000,0.422468,0.275000,0.873701,0.915000,0.951818,0.985000,0.937208,0.990000,32.573242,3.756836,58.291016,4599.900391,2895.407227
15790,0.864295,0.920000,0.421603,0.355000,0.874359,0.925000,0.952244,0.985000,0.937821,0.985000,35.049805,3.756836,58.291016,4252.705078,2898.375977
15990,0.863544,0.805000,0.420633,0.345000,0.874684,0.900000,0.952595,0.980000,0.938354,0.980000,33.541992,3.756836,58.291016,4344.669922,2894.407227
16190,0.863625,0.870000,0.419812,0.355000,0.875437,0.935000,0.953187,1.000000,0.938937,0.985000,35.049805,3.756836,58.291016,4432.029297,2895.329102
16390,0.862901,0.805000,0.417963,0.270000,0.875494,0.880000,0.953580,0.985000,0.939383,0.975000,33.487305,3.756836,58.291016,4459.826172,2898.547852
16590,0.863354,0.900000,0.416829,0.325000,0.875732,0.895000,0.953720,0.965000,0.939756,0.970000,35.049805,3.756836,58.291016,4557.599609,2891.610352
16790,0.862771,0.815000,0.415482,0.305000,0.876566,0.945000,0.953735,0.955000,0.940000,0.960000,33.541992,3.756836,58.291016,4671.322266,2890.891602
16990,0.863155,0.895000,0.413988,0.290000,0.876845,0.900000,0.954048,0.980000,0.940476,0.980000,35.049805,3.756836,58.291016,4777.154297,2904.926758
17190,0.862882,0.840000,0.412588,0.295000,0.877471,0.930000,0.954412,0.985000,0.941176,1.000000,33.541992,3.756836,58.291016,4493.384766,2895.161133
17390,0.863488,0.915000,0.411686,0.335000,0.877965,0.920000,0.954651,0.975000,0.941570,0.975000,35.049805,3.756836,58.291016,4184.697266,2894.567383
17590,0.863046,0.825000,0.410000,0.265000,0.877874,0.870000,0.954770,0.965000,0.941954,0.975000,29.663086,3.756836,58.291016,4274.556641,2895.442383
17790,0.862841,0.845000,0.408693,0.295000,0.878125,0.900000,0.955227,0.995000,0.942330,0.975000,33.565430,3.756836,58.291016,4344.017578,2896.661133
17990,0.862865,0.865000,0.408034,0.350000,0.878539,0.915000,0.955618,0.990000,0.942753,0.980000,25.096680,3.756836,58.291016,4398.240234,2895.625977
18190,0.863000,0.875000,0.406722,0.290000,0.878889,0.910000,0.956000,0.990000,0.943222,0.985000,33.514648,3.756836,58.291016,4478.064453,2896.000977
18390,0.864011,0.955000,0.404560,0.210000,0.879396,0.925000,0.956429,0.995000,0.943571,0.975000,35.022461,3.756836,58.291016,4516.623047,2895.563477
18590,0.863859,0.850000,0.403098,0.270000,0.880109,0.945000,0.956848,0.995000,0.944022,0.985000,32.112305,3.756836,58.291016,4564.716797,2893.500977
18790,0.863763,0.855000,0.401774,0.280000,0.880323,0.900000,0.957097,0.980000,0.944301,0.970000,33.538086,3.756836,58.291016,4638.158203,2890.532227
18990,0.863191,0.810000,0.400798,0.310000,0.880426,0.890000,0.957287,0.975000,0.944521,0.965000,32.088867,3.756836,58.291016,4819.392578,2895.434570
19190,0.863789,0.920000,0.399526,0.280000,0.881000,0.935000,0.957579,0.985000,0.944947,0.985000,33.596680,3.756836,58.291016,4876.650391,2894.528320
19390,0.863646,0.850000,0.397969,0.250000,0.881406,0.920000,0.957969,0.995000,0.945260,0.975000,32.061523,3.756836,58.291016,4636.287109,2890.715820
19590,0.864124,0.910000,0.396443,0.250000,0.881701,0.910000,0.958299,0.990000,0.945619,0.980000,33.541992,3.756836,58.291016,4585.333984,2894.403320
19790,0.864490,0.900000,0.395459,0.300000,0.881837,0.895000,0.958622,0.990000,0.946020,0.985000,35.049805,3.756836,58.291016,4666.783203,2891.778320
19990,0.863990,0.815000,0.394141,0.265000,0.881465,0.845000,0.958788,0.975000,0.946162,0.960000,32.030273,3.756836,58.291016,4505.701172,2891.153320
20190,0.863750,0.840000,0.392750,0.255000,0.881500,0.885000,0.959050,0.985000,0.946550,0.985000,34.991211,3.756836,58.291016,4557.275391,2895.122070
20390,0.863218,0.810000,0.392376,0.355000,0.881881,0.920000,0.959257,0.980000,0.946733,0.965000,32.061523,3.756836,58.291016,4635.326172,2891.403320
20590,0.863431,0.885000,0.391373,0.290000,0.881961,0.890000,0.959510,0.985000,0.947010,0.975000,35.022461,3.756836,58.291016,4705.162109,2895.122070
20790,0.863398,0.860000,0.390777,0.330000,0.882427,0.930000,0.959612,0.970000,0.947282,0.975000,32.061523,3.756836,58.291016,4759.021484,2889.809570
20990,0.863750,0.900000,0.390240,0.335000,0.882692,0.910000,0.959904,0.990000,0.947596,0.980000,34.026367,3.756836,58.291016,4809.533203,2891.622070
21190,0.863905,0.880000,0.388810,0.240000,0.882810,0.895000,0.960238,0.995000,0.948048,0.995000,32.061523,3.756836,58.291016,4964.603516,2902.809570
21390,0.863632,0.835000,0.388255,0.330000,0.882453,0.845000,0.960425,0.980000,0.948255,0.970000,34.026367,3.756836,58.291016,5009.474609,2893.938477
21590,0.863364,0.835000,0.387477,0.305000,0.882336,0.870000,0.960654,0.985000,0.948645,0.990000,31.577148,3.756836,58.291016,5057.166016,2894.000977
21790,0.863241,0.850000,0.386343,0.265000,0.882083,0.855000,0.960972,0.995000,0.948935,0.980000,33.541992,3.756836,58.291016,5132.814453,2895.313477
21990,0.863165,0.855000,0.385550,0.300000,0.881927,0.865000,0.961193,0.985000,0.949174,0.975000,31.631836,3.756836,58.291016,5191.169922,2886.016602
22190,0.863409,0.890000,0.384636,0.285000,0.881909,0.880000,0.961455,0.990000,0.949500,0.985000,33.596680,3.756836,58.291016,5207.470703,2895.454102
22390,0.863063,0.825000,0.383604,0.270000,0.881757,0.865000,0.961712,0.990000,0.949730,0.975000,32.030273,3.756836,51.943359,5255.537109,2892.641602
22590,0.863036,0.860000,0.383080,0.325000,0.881473,0.850000,0.961964,0.990000,0.950089,0.990000,33.538086,3.756836,58.349609,5291.392578,2890.141602
22790,0.862920,0.850000,0.382611,0.330000,0.881283,0.860000,0.962168,0.985000,0.950265,0.970000,32.143555,3.756836,58.349609,5339.751953,2886.797852
22990,0.863246,0.900000,0.381623,0.270000,0.880965,0.845000,0.962412,0.990000,0.950482,0.975000,34.510742,3.756836,58.349609,5402.427734,2893.079102
23190,0.863609,0.905000,0.380565,0.260000,0.880565,0.835000,0.962652,0.990000,0.950522,0.955000,35.725586,3.756836,58.349609,5456.974609,2918.110352
