# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 - 
# [hat] HAT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] -
# [rslvq] RSLVQ
# [arslvq] RSLVQ
# [adf] AdaptiveRandomForest: n_estimators: 10 - max_features: auto - disable_weighted_vote: False - lambda_value: 6 -
# [oza] OzaBagginAdwin Classifier: base_estimator: <skmultiflow.lazy.knn.KNN object at 0x7ffb1f743208> - n_estimators: 10
# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: Mixed Generator_Mixed Generator_1000_100_memory_other.csv - batch_size: 10 - pretrain_size: 200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'model_size']
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[arslvq],current_acc_[arslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],model_size_[hat],model_size_[rslvq],model_size_[arslvq],model_size_[adf],model_size_[oza]
8790,0.591512,0.705000,0.506628,0.435000,0.619302,0.880000,0.859651,0.930000,0.633488,0.910000,40.897461,3.756836,58.291016,1166.623047,2445.512695
8990,0.594432,0.720000,0.504886,0.430000,0.625227,0.880000,0.861023,0.920000,0.639318,0.890000,40.952148,3.756836,58.291016,1019.689453,2400.336914
9190,0.587667,0.290000,0.506444,0.575000,0.614778,0.155000,0.854000,0.545000,0.628333,0.145000,40.952148,3.756836,58.291016,835.302734,2230.836914
9390,0.580326,0.250000,0.507065,0.535000,0.603804,0.110000,0.855326,0.915000,0.620870,0.285000,40.952148,3.756836,58.291016,517.572266,2393.129883
9590,0.578723,0.505000,0.507979,0.550000,0.593936,0.140000,0.856383,0.905000,0.620000,0.580000,40.952148,3.756836,58.291016,657.103516,2461.770508
9790,0.581979,0.735000,0.509271,0.570000,0.586042,0.215000,0.857708,0.920000,0.625417,0.880000,40.897461,3.756836,58.291016,790.388672,2534.747070
9990,0.586837,0.820000,0.510510,0.570000,0.579490,0.265000,0.859490,0.945000,0.631531,0.925000,40.952148,3.756836,58.291016,952.060547,2639.614258
10190,0.579200,0.205000,0.510100,0.490000,0.581400,0.675000,0.854600,0.615000,0.622000,0.155000,40.897461,3.756836,58.291016,852.595703,2431.829102
10390,0.572549,0.240000,0.508922,0.450000,0.584412,0.735000,0.854902,0.870000,0.614020,0.215000,40.952148,3.756836,58.291016,832.744141,2532.309570
10590,0.569519,0.415000,0.507981,0.460000,0.587404,0.740000,0.856154,0.920000,0.614327,0.630000,40.952148,3.756836,58.291016,1023.482422,2568.293945
10790,0.572358,0.720000,0.506509,0.430000,0.592453,0.855000,0.857358,0.920000,0.618302,0.825000,40.897461,3.756836,58.291016,1175.990234,2556.360352
10990,0.574722,0.700000,0.505278,0.440000,0.598333,0.910000,0.858981,0.945000,0.624074,0.930000,40.952148,3.756836,58.291016,876.345703,2667.922852
11190,0.573909,0.530000,0.505273,0.505000,0.591000,0.195000,0.854455,0.610000,0.616636,0.215000,40.897461,3.756836,58.291016,818.685547,2626.903320
11390,0.570982,0.410000,0.505446,0.515000,0.582589,0.120000,0.855268,0.900000,0.609643,0.225000,40.897461,3.756836,58.291016,877.802734,2607.051758
11590,0.572807,0.675000,0.506316,0.555000,0.575088,0.155000,0.856667,0.935000,0.608772,0.560000,40.952148,3.756836,58.291016,913.064453,2653.297852
11790,0.575086,0.705000,0.507672,0.585000,0.570259,0.295000,0.857759,0.920000,0.612586,0.830000,40.952148,3.756836,58.291016,1153.396484,2710.805664
11990,0.578220,0.760000,0.508814,0.575000,0.564661,0.240000,0.859153,0.940000,0.618644,0.970000,40.952148,3.756836,58.291016,922.076172,2763.903320
12190,0.574000,0.325000,0.507250,0.415000,0.566333,0.665000,0.855083,0.615000,0.612833,0.270000,40.952148,3.756836,58.291016,876.154297,2380.348633
12390,0.569098,0.275000,0.506639,0.470000,0.569508,0.760000,0.855410,0.875000,0.606885,0.250000,40.897461,3.756836,58.291016,891.689453,2413.137695
12590,0.565726,0.360000,0.505806,0.455000,0.573629,0.825000,0.856290,0.910000,0.608468,0.705000,40.897461,3.756836,58.291016,907.021484,2510.622070
12790,0.565556,0.555000,0.504524,0.425000,0.577937,0.845000,0.856587,0.875000,0.611349,0.790000,40.952148,3.756836,58.291016,1046.126953,2540.610352
12990,0.566094,0.600000,0.503359,0.430000,0.582266,0.855000,0.857500,0.915000,0.617031,0.975000,40.897461,3.756836,50.685547,1128.158203,2398.864258
13190,0.563615,0.405000,0.503846,0.535000,0.580846,0.490000,0.853538,0.600000,0.610154,0.170000,40.952148,3.756836,58.349609,1124.142578,2173.254883
13390,0.564394,0.615000,0.505379,0.605000,0.584470,0.820000,0.854242,0.900000,0.607121,0.410000,40.897461,3.756836,58.349609,1175.130859,2363.836914
13590,0.567164,0.750000,0.506642,0.590000,0.588731,0.870000,0.854701,0.885000,0.609552,0.770000,41.436523,3.756836,58.349609,1335.123047,2566.934570
