# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 -
# [SamKnn] SAMKNN(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# EvaluatePrequential(batch_size=10, data_points_for_classification=False, max_samples=50000, max_time=inf, metrics=['accuracy', 'model_size'], n_wait=200, output_file='Mixed Generator_Mixed ' 'Generator_1000_100_memory_other.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[SamKnn],current_acc_[SamKnn],model_size_[SamKnn]
39390,0.855153,0.890000,980699.788086
39590,0.855660,0.955000,980749.795898
39790,0.856338,0.990000,980826.002930
39990,0.856935,0.975000,980898.756836
40190,0.854550,0.380000,980947.545898
40390,0.854975,0.940000,980868.112305
40590,0.855446,0.950000,980916.100586
40790,0.856010,0.970000,980988.252930
40990,0.856667,0.990000,981067.874023
41190,0.854610,0.435000,980993.897461
41390,0.855073,0.950000,980922.870117
41590,0.855531,0.950000,980978.428711
41790,0.856178,0.990000,981052.791992
41990,0.856794,0.985000,981122.452148
42190,0.854667,0.410000,981203.889648
42390,0.854621,0.845000,981004.221680
42590,0.855094,0.955000,981039.053711
42790,0.855704,0.985000,981111.073242
42990,0.856262,0.975000,981181.975586
43190,0.854395,0.455000,981115.569336
43390,0.854815,0.945000,981045.362305
43590,0.855369,0.975000,981095.995117
43790,0.855849,0.960000,981170.522461
43990,0.856438,0.985000,981245.807617
44190,0.854500,0.430000,981173.073242
44390,0.854955,0.955000,981098.721680
44590,0.855405,0.955000,981154.448242
44790,0.856009,0.990000,981224.944336
44990,0.856563,0.980000,981269.225586
45190,0.855311,0.575000,981337.131836
45390,0.855730,0.950000,981276.147461
45590,0.856256,0.975000,981322.959961
45790,0.856732,0.965000,981396.764648
45990,0.857205,0.965000,981468.416992
46190,0.855609,0.490000,981423.116211
46390,0.855974,0.940000,981349.436523
46590,0.856487,0.975000,981403.967773
46790,0.856953,0.965000,981474.479492
46990,0.857500,0.985000,981548.694336
47190,0.855745,0.445000,981625.295898
47390,0.855593,0.820000,981409.241211
47590,0.855907,0.930000,981438.471680
47790,0.856387,0.970000,981501.456055
47990,0.856778,0.950000,981582.397461
48190,0.855500,0.550000,981531.745117
48390,0.855830,0.935000,981454.807617
48590,0.856384,0.990000,981512.893555
48790,0.856831,0.965000,981586.038086
48990,0.857295,0.970000,981656.706055
49190,0.855755,0.480000,981734.643555
49390,0.855447,0.780000,981514.393555
49590,0.855931,0.975000,981556.206055
49790,0.856371,0.965000,981617.112305
49990,0.856867,0.980000,981693.538086
