# TEST CONFIGURATION BEGIN
# ReoccuringDriftStream: First Stream: MIXEDGenerator - Drift Stream: MIXEDGenerator - alpha: 90.0 - position: 2000 - width: 1 - 
# [hat] HAT: max_byte_size: 33554432 - memory_estimate_period: 1000000 - grace_period: 200 - split_criterion: info_gain - split_confidence: 1e-07 - tie_threshold: 0.05 - binary_split: False - stop_mem_management: False - remove_poor_atts: False - no_pre_prune: False - leaf_prediction: nba - nb_threshold: 0 - nominal_attributes: [] - 
# [rslvq] RSLVQ
# [arslvq] RSLVQ
# [adf] AdaptiveRandomForest: n_estimators: 10 - max_features: auto - disable_weighted_vote: False - lambda_value: 6 - 
# [oza] OzaBagginAdwin Classifier: base_estimator: <skmultiflow.lazy.knn.KNN object at 0x7f1e65649710> - n_estimators: 10
# [samknn] avg. STMSize nan LTMSize nan; num correct STM 0 LTM 0 CM 0 ; num correct 0/0

# Prequential Evaluator: n_wait: 200 - max_samples: 50000 - max_time: inf - output_file: Mixed Generator_Mixed Generator_1000_100_memory_other.csv - batch_size: 10 - pretrain_size: 200 - task_type: classification - show_plot: False - metrics: ['accuracy', 'running_time']
# TEST CONFIGURATION END
id,mean_acc_[hat],current_acc_[hat],mean_acc_[rslvq],current_acc_[rslvq],mean_acc_[arslvq],current_acc_[arslvq],mean_acc_[adf],current_acc_[adf],mean_acc_[oza],current_acc_[oza],mean_acc_[samknn],current_acc_[samknn],training_time_[hat],testing_time_[hat],total_running_time_[hat],training_time_[rslvq],testing_time_[rslvq],total_running_time_[rslvq],training_time_[arslvq],testing_time_[arslvq],total_running_time_[arslvq],training_time_[adf],testing_time_[adf],total_running_time_[adf],training_time_[oza],testing_time_[oza],total_running_time_[oza],training_time_[samknn],testing_time_[samknn],total_running_time_[samknn]
5190,0.610800,0.265000,0.520400,0.605000,0.626200,0.220000,0.870800,0.680000,0.686400,0.175000,0.856000,0.350000,0.592254,0.162112,0.754367,3.041502,0.604481,3.645983,4.956477,0.149062,5.105539,14.228787,1.285081,15.513868,4.319886,2.624455,6.944341,2.415485,0.806596,3.222081
5390,0.609615,0.580000,0.525385,0.650000,0.622885,0.540000,0.871154,0.880000,0.680192,0.525000,0.859038,0.935000,0.620185,0.167949,0.788134,3.158721,0.627593,3.786314,5.156073,0.155037,5.311110,14.753739,1.331018,16.084757,4.493254,2.726974,7.220229,2.483670,0.825589,3.309259
5590,0.615741,0.775000,0.530000,0.650000,0.630000,0.815000,0.872037,0.895000,0.683519,0.770000,0.863519,0.980000,0.650243,0.174217,0.824459,3.276519,0.650517,3.927036,5.355056,0.161045,5.516101,15.238134,1.373740,16.611874,4.665995,2.837699,7.503695,2.583209,0.850129,3.433338
5790,0.620714,0.755000,0.534643,0.660000,0.635357,0.780000,0.871786,0.865000,0.690714,0.885000,0.867321,0.970000,0.679000,0.180682,0.859682,3.395207,0.673528,4.068735,5.555048,0.167038,5.722086,15.720952,1.417503,17.138455,4.849958,2.947783,7.797742,2.664283,0.874897,3.539180
5990,0.623966,0.715000,0.537931,0.630000,0.640690,0.790000,0.873276,0.915000,0.697586,0.890000,0.870690,0.965000,0.708612,0.186999,0.895611,3.512718,0.696414,4.209132,5.751981,0.172992,5.924974,16.225256,1.460094,17.685351,5.027747,3.051641,8.079387,2.757844,0.905505,3.663349
6190,0.611833,0.260000,0.534333,0.430000,0.626333,0.210000,0.865333,0.635000,0.677167,0.085000,0.851333,0.290000,0.737843,0.193204,0.931048,3.629448,0.719090,4.348537,5.950041,0.178877,6.128918,16.843709,1.507100,18.350809,5.187993,3.150006,8.337999,2.848010,0.937490,3.785500
6390,0.603226,0.345000,0.529677,0.390000,0.622903,0.520000,0.865968,0.885000,0.668871,0.420000,0.854839,0.960000,0.766140,0.198645,0.964785,3.746539,0.742151,4.488690,6.137594,0.184750,6.322345,17.419100,1.550238,18.969338,5.355484,3.251521,8.607006,2.918647,0.955978,3.874625
6590,0.596094,0.375000,0.526719,0.435000,0.630313,0.860000,0.867344,0.910000,0.670781,0.730000,0.857969,0.955000,0.791637,0.203057,0.994694,3.864186,0.764939,4.629125,6.318675,0.190704,6.509379,17.919921,1.592905,19.512826,5.527837,3.355592,8.883429,2.994148,0.979646,3.973795
6790,0.599394,0.705000,0.523030,0.405000,0.636970,0.850000,0.869242,0.930000,0.677273,0.885000,0.861364,0.970000,0.817752,0.207575,1.025327,3.981252,0.787726,4.768978,6.517151,0.196671,6.713822,18.437321,1.636179,20.073500,5.700787,3.462714,9.163501,3.083629,1.009849,4.093478
6990,0.601618,0.675000,0.517059,0.320000,0.643235,0.850000,0.869706,0.885000,0.684265,0.915000,0.864559,0.970000,0.846138,0.212815,1.058953,4.098186,0.811049,4.909235,6.716089,0.202645,6.918734,18.969737,1.681788,20.651525,5.886968,3.571259,9.458227,3.183606,1.046469,4.230076
